Gene,ENS ref,refseq match,gene symbol,# nucleotides,log likelihood dN/dS >= 0,log likelihood dN/dS=1,p-value for likelihood ratio test of dN/dS=1 versus dN/dS > 1.  Test not performed for data genes with 2 mutations or less or less than 50 codons. p=1 indicates that dN/dS < 1.,included in restrictive data set?
HC9881,ENSG00000114670,NM_024800,NEK11,1308,-1797.54,-1798.95,1,yes
HC9882,ENSG00000169891,NM_004726,REPS2,435,-593.14,-594.297,,yes
HC9883,,,DKFZP564D172,378,-507.385,-507.694,,yes
HC9884,,,FLJ10035,1359,-1875.2,-1877.89,1,yes
HC9885,,,,126,,,,no
HC9886,,,,360,-522.55,-522.944,0.121078,no
HC9887,,,,207,-295.636,-296.44,1,no
HC9888,,,,159,-242.028,-242.208,0.397694,no
HC9889,,NM_182625,,129,,,,yes
HC9890,,,,171,-230.701,-230.701,,no
HC9891,,,,108,,,,no
HC9892,,,,234,-310.547,-310.897,,no
HC9893,,,,120,,,,no
HC9894,,,,222,-311.183,-311.866,,no
HC9895,,,,171,-255.354,-256.971,0.153965,no
HC9896,,,,372,-526.581,-527.387,1,no
HC9897,,,,117,,,,no
HC9898,,,,195,-271.186,-271.566,,no
HC9899,,,,48,,,,no
HC9900,,,,138,,,,no
HC9901,,,,141,,,,no
HC9902,,,,255,-361.364,-362.401,0.313222,no
HC9903,,,,195,-267.671,-268.769,,no
HC9904,,,,81,,,,no
HC9905,ENSG00000165995,"NM_201571,NM_201572,NM_201593,NM_201596,NM_201597",,51,,,,yes
HC9906,,,SDC1,288,-394.862,-395.251,,no
HC9907,,,,57,,,,no
HC9908,,,,144,,,,no
HC9909,,,,162,-229.909,-230.039,,no
HC9910,,,,132,,,,no
HC9911,,,,111,,,,no
HC9912,,,,153,-222.179,-222.319,0.230082,no
HC9913,,,,249,-351.87,-352.058,,no
HC9914,,,,195,-264.582,-264.582,,no
HC9915,,,,114,,,,no
HC9916,,XM_373448,,237,-340.365,-340.698,1,no
HC9917,,,,165,-231.048,-231.768,,no
HC9918,,,,144,,,,no
HC9919,,,,111,,,,no
HC9920,,,,300,-417.193,-418.159,1,no
HC9921,,,,48,,,,no
HC9922,,,,357,-501.112,-502.224,0.153389,no
HC9923,,,,159,-200.326,-200.663,,no
HC9924,,,,210,-284.611,-285.009,,no
HC9925,ENSG00000186057,XM_085383,PARD6A,225,-299.237,-299.726,,no
HC9926,ENSG00000185158,NM_052888,LOC114659,66,,,,yes
HC9927,ENSG00000107863,NM_020824,,192,-252.011,-253.572,,yes
HC9928,,,,72,,,,yes
HC9929,,,,165,-240.774,-241.206,1,no
HC9930,,,,189,-267.384,-267.609,,no
HC9931,,,,261,-367.918,-368.116,,no
HC9932,,,,51,,,,no
HC9933,,,,162,-212.132,-212.132,,no
HC9934,ENSG00000186143,NM_178553,,1050,-1424.02,-1424.13,1,yes
HC9935,ENSG00000084693,,FLJ21839,264,-373.765,-373.765,0.343158,yes
HC9936,,,DPYSL5,297,-413.04,-413.796,,no
HC9937,,,,147,,,,no
HC9938,,,,261,-396.699,-396.856,1,no
HC9939,,,,81,,,,no
HC9940,,,,135,,,,no
HC9941,,,,195,-276.127,-276.78,1,no
HC9942,,,,258,-354.457,-354.787,,no
HC9943,,,,126,,,,no
HC9944,,,CCND1,159,-238.452,-238.579,0.452222,no
HC9945,,,,225,-321.853,-321.854,1,no
HC9946,,,,180,-243.483,-243.898,,no
HC9947,,,,213,-307.659,-308.052,1,no
HC9948,,,,99,,,,no
HC9949,ENSG00000131634,,FLJ20898,420,-546.97,-546.978,1,yes
HC9950,ENSG00000009413,,REV3L,4233,-5695.97,-5696.24,1,yes
HC9951,ENSG00000168438,NM_015891,CDC40,762,-1034.24,-1035.53,,yes
HC9952,ENSG00000164494,NM_020381,LOC57107,822,-1138.24,-1138.63,1,yes
HC9953,,,,159,-214.662,-214.662,,no
HC9954,,,,276,-387.229,-387.239,1,no
HC9955,,,,180,-248.571,-248.972,,no
HC9956,,,,30,,,,no
HC9957,,,,165,-227.391,-227.744,,no
HC9958,,,,90,,,,no
HC9959,,,,9,,,,no
HC9960,,,,225,-297.074,-297.074,,no
HC9961,ENSG00000164947,NM_006550,FSBP,435,-567.353,-567.67,,yes
HC9962,,,,198,-304.842,-304.878,0.437079,no
HC9963,,NM_019119,PCDHB9,1908,-2736.4,-2738.96,1,yes
HC9964,,NM_018931,PCDHB11,1701,-2508.11,-2509.03,1,yes
HC9965,ENSG00000146001,,PCDHB14,360,-517.655,-519.589,1,no
HC9966,ENSG00000081818,NM_018938,PCDHB4,1458,-2064.32,-2067.11,1,yes
HC9967,ENSG00000120322,NM_019120,PCDHB8,1629,-2268.82,-2270.21,1,yes
HC9968,ENSG00000065621,NM_183239,,471,-662.296,-662.706,1,yes
HC9969,,,,2151,-3000.39,-3000.54,0.36341,no
HC9970,ENSG00000154240,,,267,-333.228,-333.625,,yes
HC9971,,NM_012417,PITPNC1,750,-1021.33,-1023.82,,yes
HC9972,ENSG00000179074,,,930,-1389.94,-1390.77,1,no
HC9973,ENSG00000153404,NM_052909,,177,-238.786,-239.043,,yes
HC9974,ENSG00000147255,"NM_001555,NM_205833",IGSF1,525,-720.952,-723.457,,yes
HC9975,ENSG00000112637,XM_371812,,150,-207.294,-209.465,,no
HC9976,,,,120,,,,no
HC9977,ENSG00000171700,NM_005873,RGS19,165,-213.667,-215.57,,yes
HC9978,ENSG00000187601,NM_014061,MAGEH1,372,-500.721,-500.721,,yes
HC9979,ENSG00000178372,NM_017422,CLSP,279,-367.861,-368.354,1,yes
HC9980,,,KRTAP4-7,105,,,,no
HC9981,,XM_378441,,219,-308.585,-308.592,1,no
HC9982,,,,144,,,,no
HC9983,ENSG00000152147,NM_024775,GEMIN6,366,-495.965,-497.243,,yes
HC9984,,,,162,-235.653,-235.653,1,no
HC9985,,,,195,-292.161,-294.032,0.057627,no
HC9986,,,,114,,,,no
HC9987,,,,27,,,,no
HC9988,,XM_373778,,321,-445.025,-445.382,,no
HC9989,ENSG00000079081,NM_020762,,2307,-3186.69,-3193.44,1,yes
HC9990,,XM_060563,,627,-858.594,-859.441,1,no
HC9991,ENSG00000024048,NM_015255,,2775,-3807.03,-3808.63,1,yes
HC9992,ENSG00000024048,NM_015255,,561,-775.051,-775.061,0.634273,yes
HC9993,ENSG00000112062,NM_139012,MAPK14,393,-521.793,-521.793,,yes
HC9994,,,,180,-255.872,-257.287,0,no
HC9995,ENSG00000082701,NM_002093,GSK3B,153,-202.952,-202.952,,yes
HC9996,ENSG00000120063,NM_006572,GNA13,480,-660.177,-661.099,1,yes
HC9997,ENSG00000165671,NM_172349,,3441,-4669.69,-4670.38,1,yes
HC9998,ENSG00000171150,"NM_014011,NM_144949",SOCS5,918,-1264.72,-1268.55,1,yes
HC9999,ENSG00000187461,NM_033069,GFOD1,402,-576.554,-577.727,1,yes
HC10000,ENSG00000133142,NM_032926,MGC15737,87,,,,yes
HC10001,,,RAB40A,204,-282.975,-283.339,,no
HC10002,ENSG00000179635,NM_032845,FLJ14816,249,-360.404,-360.78,1,yes
HC10003,ENSG00000147138,NM_032553,FKSG79,723,-995.51,-995.518,1,yes
HC10004,ENSG00000132446,NM_031894,FTHL17,420,-552.785,-553.087,1,yes
HC10005,,NM_033188,KRTAP4-5,177,-201.376,-201.726,,yes
HC10006,,,,135,,,,no
HC10007,ENSG00000153363,NM_032705,MGC14801,165,-225.988,-226.933,1,yes
HC10008,ENSG00000171659,NM_005300,GPR34,1077,-1443.22,-1444.19,1,yes
HC10009,,,,156,-220.488,-220.628,,no
HC10010,ENSG00000156591,,MGC16153,84,,,,no
HC10011,,,MGC10981,270,-383.262,-383.272,1,no
HC10012,ENSG00000155849,NM_014800,ELMO1,1971,-2659.63,-2668.9,1,yes
HC10013,,,,351,-490.819,-491.844,1,no
HC10014,ENSG00000146701,NM_005918,MDH2,831,-1116.42,-1118.44,1,yes
HC10015,ENSG00000161849,NM_033045,KRTHB4,1098,-1502.82,-1505.13,1,yes
HC10016,,,MRE11A,351,-524.471,-524.731,1,no
HC10017,,NM_175057,,24,,,,yes
HC10018,ENSG00000146385,NM_053278,GPR102,15,,,,yes
HC10019,ENSG00000146399,NM_138327,,588,-800.445,-800.901,1,yes
HC10020,,,,198,-285.506,-285.509,1,no
HC10021,,,,162,-239.474,-239.728,0.158078,no
HC10022,ENSG00000148799,,FLJ36006,267,-335.773,-336.061,,no
HC10023,,XM_378328,,222,-304.363,-306.416,,no
HC10024,,,,195,-271.674,-272.426,,no
HC10025,,,,231,-327.73,-328.866,0.08207,no
HC10026,,,,171,-233.105,-233.409,,no
HC10027,,,,99,,,,no
HC10028,,,,66,,,,no
HC10029,,,,27,,,,no
HC10030,,,,183,-263.456,-263.761,1,no
HC10031,,,,240,-353.74,-353.84,0.398225,no
HC10032,ENSG00000165813,NM_018017,,219,-265.268,-265.268,,yes
HC10033,ENSG00000181038,,,291,-401.001,-401.683,,no
HC10034,,,BCL2L11,24,,,,no
HC10035,,,,123,,,,no
HC10036,ENSG00000154240,NM_145036,,87,,,,yes
HC10037,,,,285,-384.222,-384.857,,no
HC10038,,,,69,,,,no
HC10039,,,ADAMTS17,30,,,,no
HC10040,,,,90,,,,no
HC10041,,,,6,,,,no
HC10042,,,,261,-359.904,-360.234,,no
HC10043,,,,222,-318.521,-318.553,1,no
HC10044,,,,117,,,,no
HC10045,,,,123,,,,no
HC10046,ENSG00000175189,NM_005538,INHBC,681,-945.253,-946.674,0.144682,yes
HC10047,ENSG00000139269,NM_031479,INHBE,249,-338.924,-340.23,,yes
HC10048,ENSG00000133193,NM_032837,FLJ14775,216,-273.395,-275.333,,yes
HC10049,ENSG00000180576,NM_031959,KRTAP3-2,135,,,,yes
HC10050,ENSG00000180583,NM_033185,KRTAP3-3,291,-372.142,-373.68,,yes
HC10051,ENSG00000186860,NM_031964,KRTAP17-1,186,-196.352,-196.352,,yes
HC10052,ENSG00000177798,NM_033194,HspB9,378,-533.915,-534.982,1,yes
HC10053,ENSG00000179385,,,171,-217.276,-217.276,,no
HC10054,ENSG00000168065,NM_018484,SLC22A11,1110,-1462.19,-1462.71,,yes
HC10055,ENSG00000167397,"NM_024006,NM_206824",IMAGE3455200,168,-210.761,-212.573,,yes
HC10056,,,MDM2,60,,,,no
HC10057,ENSG00000178388,,HEIL1,378,-529.782,-529.792,1,no
HC10058,ENSG00000136697,"NM_032556,NM_173161",IL1F10,339,-480.045,-480.047,0.644867,yes
HC10059,ENSG00000175564,NM_003356,UCP3,597,-813.568,-819.644,1,yes
HC10060,,,RAB11-FIP4,375,-514.039,-514.188,,no
HC10061,,,MGC15705,246,-362.015,-362.039,0.571311,no
HC10062,,,,105,,,,no
HC10063,,,,30,,,,no
HC10064,,,,147,,,,no
HC10065,ENSG00000143995,NM_002398,MEIS1,849,-1156.33,-1157.56,,yes
HC10066,ENSG00000048052,NM_014707,HDAC9,1638,-2222.43,-2223.22,1,yes
HC10067,ENSG00000111846,NM_001491,GCNT2,1191,-1742.08,-1753.22,1,yes
HC10068,,,,225,-304.81,-306.004,,no
HC10069,,,,75,,,,no
HC10070,,,,102,,,,no
HC10071,,,,132,,,,no
HC10072,,,,60,,,,no
HC10073,,,,222,-314.82,-314.837,1,no
HC10074,,XM_374283,,102,,,,no
HC10075,,,,93,,,,no
HC10076,,,,174,-244.574,-244.824,,no
HC10077,,,,276,-365.525,-365.684,,no
HC10078,,,,198,-271.345,-271.587,,no
HC10079,,,,78,,,,no
HC10080,,,,105,,,,no
HC10081,ENSG00000188270,,,474,-602.36,-602.36,,no
HC10082,ENSG00000174032,XM_170736,,78,,,,no
HC10083,,,,222,-331.077,-332.495,1,no
HC10084,,,,246,-360.978,-361.113,0.417235,no
HC10085,,,,318,-448.713,-449.961,0.000917,no
HC10086,,,,177,-250.124,-250.702,,no
HC10087,,,,132,,,,no
HC10088,ENSG00000108370,,RGS9,1260,-1734.95,-1745.03,1,yes
HC10089,,,,264,-370.15,-370.84,,no
HC10090,ENSG00000111783,NM_032491,RFX4,1053,-1454.33,-1457.95,1,yes
HC10091,ENSG00000185966,NM_178435,,195,-251.842,-252.18,,yes
HC10092,ENSG00000163202,NM_032563,LEP16,273,-362.307,-365.5,1,yes
HC10093,ENSG00000181099,,DKFZP434F122,411,-593.933,-594.282,0.177422,no
HC10094,,,,210,-284.513,-284.513,,no
HC10095,ENSG00000183221,NM_032554,,801,-1119,-1121.43,1,yes
HC10096,ENSG00000145879,NM_032566,ECG2,207,-292.699,-296.45,1,yes
HC10097,ENSG00000166920,"NM_032413,NM_197955",NMES1,225,-301.678,-301.678,,yes
HC10098,ENSG00000180205,NM_147198,WFDC9,186,-250.998,-250.998,,yes
HC10099,,,,120,,,,no
HC10100,,,,66,,,,no
HC10101,ENSG00000163374,"NM_018253,NM_139118,NM_139119,NM_139121",FLJ20203,579,-786.613,-787.02,,yes
HC10102,ENSG00000174442,NM_017975,FLJ10036,336,-461.14,-461.355,,yes
HC10103,ENSG00000188570,NM_031957,KRTAP1-5,39,,,,yes
HC10104,,,,48,,,,no
HC10105,ENSG00000125878,NM_004609,TCF15,30,,,,yes
HC10106,ENSG00000136267,NM_004080,DGKB,1632,-2242.07,-2248.32,1,yes
HC10107,,,,210,-281.468,-281.827,,no
HC10108,ENSG00000178021,XM_371494,,1212,-1669.62,-1669.66,1,no
HC10109,,,ACYP2,165,-233.448,-233.654,,yes
HC10110,ENSG00000185565,NM_002338,,996,-1359.43,-1361.85,,yes
HC10111,ENSG00000177239,NM_016219,MAN1B1,165,-232.61,-232.611,0.343048,yes
HC10112,ENSG00000104043,XM_370863,KIAA1939,753,-1010.38,-1010.61,,no
HC10113,ENSG00000159017,NM_032928,FLJ10101,150,-207.44,-207.784,,yes
HC10114,ENSG00000103657,NM_003922,HERC1,6714,-9250.3,-9256.08,1,yes
HC10115,ENSG00000148400,NM_017617,NOTCH1,3231,-4142.82,-4156.32,1,yes
HC10116,ENSG00000171914,NM_015059,,705,-958.517,-962.144,1,yes
HC10117,ENSG00000173230,NM_004487,GOLGB1,6726,-8983.01,-8983.08,0.363917,yes
HC10118,,,,1608,-2199.85,-2200.75,1,yes
HC10119,ENSG00000114098,NM_015396,HSPC056,696,-932.507,-932.507,,yes
HC10120,,,,36,,,,no
HC10121,,,FLJ12969,162,-216.728,-217.314,,no
HC10122,,,,237,-321.205,-321.513,,no
HC10123,ENSG00000174137,XM_094066,,369,-513.811,-515.173,0.108618,no
HC10124,ENSG00000181090,NM_024757,Eu-HMTase1,2484,-3368.44,-3381.02,1,yes
HC10125,ENSG00000108046,NM_017609,DKFZp434A1721,1011,-1452.7,-1452.77,1,yes
HC10126,ENSG00000181826,,,636,-902.724,-903.015,1,no
HC10127,ENSG00000168127,XM_370931,OR1F1,42,,,,no
HC10128,ENSG00000130270,NM_138813,,123,,,,yes
HC10129,ENSG00000130270,NM_138813,KIAA1138,1299,-1680.5,-1684.01,1,yes
HC10130,ENSG00000125124,NM_031885,BBS2,1731,-2374.89,-2378.83,1,yes
HC10131,ENSG00000169093,NM_004192,ASMTL,123,,,,yes
HC10132,"ENSG00000185319,ENSG00000165585",NM_005636,,54,,,,yes
HC10133,"ENSG00000171931,ENSG00000108445","NM_006382,NM_031456",C17orf1A,51,,,,yes
HC10134,ENSG00000068990,NM_001468,,78,,,,yes
HC10135,,,,132,,,,no
HC10136,ENSG00000130635,NM_000093,COL5A1,4533,-6126.36,-6160.06,1,yes
HC10137,,,PKD1,231,-290.957,-290.957,,no
HC10138,ENSG00000100208,,,486,-688.305,-689.779,1,no
HC10139,,,,51,,,,no
HC10140,ENSG00000146592,"NM_004904,NM_182898",H_GS165L15.1,438,-601.524,-601.564,1,yes
HC10141,,,,234,-332.507,-332.531,1,no
HC10142,ENSG00000188225,XM_374427,,84,,,,no
HC10143,,XM_374605,,417,-608.565,-608.908,0.186986,no
HC10144,,,,249,-355.628,-356.781,0.049834,no
HC10145,,NM_020217,,309,-417.553,-418.403,0.340646,yes
HC10146,,,,33,,,,no
HC10147,,,,93,,,,no
HC10148,,,FLJ23451,531,-741.635,-742.44,1,yes
HC10149,ENSG00000138081,NM_025133,FBXO11,144,,,,yes
HC10150,,,,99,,,,no
HC10151,,,,117,,,,no
HC10152,,,,117,,,,no
HC10153,,,,33,,,,yes
HC10154,,,,144,,,,no
HC10155,ENSG00000117595,NM_006147,IRF6,1071,-1459.79,-1462.62,1,yes
HC10156,ENSG00000168702,NM_018557,LRP1B,4989,-6867.04,-6883.94,1,yes
HC10157,ENSG00000144645,NM_017784,OSBPL10,351,-471.702,-471.991,,yes
HC10158,ENSG00000153071,NM_001343,DAB2,1374,-1874.57,-1875.47,1,yes
HC10159,ENSG00000120341,NM_033127,RGPR,2934,-4107.86,-4107.87,0.450522,yes
HC10160,,,,39,,,,no
HC10161,,,,255,-364.506,-365.532,1,no
HC10162,ENSG00000112852,NM_018936,PCDHB2,1635,-2262.69,-2264.61,1,yes
HC10163,,,,255,-335.879,-335.879,,no
HC10164,,,,1173,-1575.29,-1575.39,0.313877,no
HC10165,ENSG00000112659,NM_015089,PARC,6450,-8851.34,-8858.15,1,no
HC10166,,,,84,,,,no
HC10167,,,,225,-334.044,-334.265,0.395674,no
HC10168,,,,99,,,,yes
HC10169,,XM_372926,,246,-355.344,-355.358,1,no
HC10170,,,,261,-340.119,-340.458,,no
HC10171,,"NM_024492,NM_145727",APOARGC,387,-570.156,-572.035,1,no
HC10172,ENSG00000158486,NM_017539,DKFZp434N074,7050,-9729.3,-9746.22,1,yes
HC10173,ENSG00000175115,NM_018026,PACS1,627,-832.979,-835.485,,yes
HC10174,ENSG00000139648,NM_033448,KRT5,1260,-1688.62,-1707.91,1,yes
HC10175,ENSG00000141946,NM_052882,ZIM3,1278,-1765.61,-1768.8,1,yes
HC10176,,,USH3A,21,,,,no
HC10177,,,,156,-211.367,-211.7,1,no
HC10178,ENSG00000169515,NM_032040,DKFZP564K0322,579,-746.484,-748.438,1,yes
HC10179,,,,285,-406.145,-406.255,0.398045,no
HC10180,,,MGC16037,117,,,,no
HC10181,ENSG00000160877,NM_052876,NAC1,891,-1114.83,-1116.81,,yes
HC10182,ENSG00000184159,NM_052861,MGC21675,168,-233.064,-233.459,,yes
HC10183,,,,585,-815.367,-817.61,1,no
HC10184,,,PVRL1,1068,-1416.41,-1420.99,1,yes
HC10185,,,,318,-441.182,-442.146,1,no
HC10186,,,,36,,,,yes
HC10187,ENSG00000007174,NM_001372,DNAH9,11220,-15487.3,-15493.1,1,no
HC10188,,,,1428,-1996.42,-2001,1,no
HC10189,,XM_371695,,261,-348.669,-350.1,,yes
HC10190,ENSG00000176058,NM_173691,,192,-242.953,-242.953,,no
HC10191,,,,207,-252.098,-252.098,,no
HC10192,ENSG00000168499,NM_018068,PIWIL2,930,-1317.5,-1317.55,0.421507,yes
HC10193,,,,2049,-2828.87,-2829.08,1,no
HC10194,ENSG00000150760,NM_001380,DOCK1,4581,-6239.4,-6265.66,1,yes
HC10195,,,,429,-595.175,-596.256,0.248347,no
HC10196,ENSG00000182771,XM_043613,,2280,-3070.79,-3078.24,1,no
HC10197,ENSG00000182676,XM_371086,,45,,,,no
HC10198,ENSG00000185760,NM_019842,,1845,-2547.97,-2552.82,1,yes
HC10199,,XM_166420,,936,-1323.21,-1323.36,0.324739,no
HC10200,ENSG00000181652,,,240,-316.976,-318.312,,no
HC10201,,,,204,-288.914,-289.599,,no
HC10202,,,,87,,,,no
HC10203,ENSG00000173875,NM_003437,ZNF136,1356,-1818.19,-1820.58,1,yes
HC10204,,,MGC14436,285,-388.674,-389.324,,no
HC10205,,,,129,,,,no
HC10206,ENSG00000179376,,,300,-406.127,-406.425,,no
HC10207,,,MGC16075,135,,,,no
HC10208,,,ZNF253,726,-986.017,-987.386,1,yes
HC10209,,,,117,,,,no
HC10210,,,,39,,,,no
HC10211,,,,363,-503.346,-503.546,0.172369,yes
HC10212,ENSG00000176834,NM_019086,FLJ20674,258,-350.765,-352.065,,yes
HC10213,ENSG00000177895,NM_020957,PCDHB16,1938,-2738.37,-2740.38,1,yes
HC10214,ENSG00000120324,NM_018930,PCDHB11,1650,-2338.89,-2340.49,1,yes
HC10215,ENSG00000182371,,,102,,,,no
HC10216,,,MGC16142,141,,,,no
HC10217,,,MGC15912,0,,,,yes
HC10218,,,,21,,,,no
HC10219,ENSG00000183419,,,42,,,,no
HC10220,,,,294,-418.936,-419.196,0.379536,no
HC10221,,,MSF,102,,,,no
HC10222,ENSG00000105518,,,546,-734.281,-736.896,,no
HC10223,,,MGC4771,351,-476.451,-476.452,0.331561,no
HC10224,,,LZLP,210,-307.285,-307.656,1,no
HC10225,,,,249,-337.294,-337.642,,no
HC10226,ENSG00000180912,,,267,-358.805,-358.805,,no
HC10227,,,MGC10955,228,-320.219,-320.437,,no
HC10228,,,C14orf93,135,,,,no
HC10229,ENSG00000180882,,,276,-358.518,-359.191,,no
HC10230,,,,96,,,,no
HC10231,ENSG00000042980,NM_014265,ADAM28,1530,-2172.96,-2173.98,1,yes
HC10232,ENSG00000181234,XM_044062,,1368,-1830.17,-1838.13,1,no
HC10233,,,KIAA0140,0,,,,yes
HC10234,,,,759,-1020.61,-1020.89,,no
HC10235,ENSG00000179361,NM_006465,,405,-535.835,-535.906,,no
HC10236,ENSG00000102683,NM_000231,SGCG,765,-1063.47,-1063.81,1,yes
HC10237,,,PTPN14,480,-655.398,-658.827,1,yes
HC10238,ENSG00000152818,NM_007124,UTRN,6741,-9166.5,-9171.7,1,yes
HC10239,ENSG00000123684,XM_375837,KIAA0205,837,-1140.34,-1140.67,,no
HC10240,ENSG00000125686,NM_004774,PPARBP,3390,-4624.6,-4628.52,1,yes
HC10241,,NM_012426,SF3B3,2124,-2928.08,-2938.68,1,yes
HC10242,,,,321,-467.23,-467.231,1,no
HC10243,,,PDGFA,207,-302.306,-303.17,1,no
HC10244,ENSG00000143476,NM_016448,RAMP,1611,-2240.24,-2243,1,yes
HC10245,ENSG00000123124,NM_007013,WWP1,1011,-1319.36,-1319.36,,yes
HC10246,ENSG00000112246,NM_005068,SIM1,2274,-3110.96,-3111.14,1,yes
HC10247,,NM_003483,HMGA2,117,,,,yes
HC10248,ENSG00000158023,NM_144668,PSMD9,189,-251.976,-251.976,,yes
HC10249,,,,186,-269.518,-270.563,0.307342,no
HC10250,,,,177,-246.903,-247.067,,no
HC10251,,,,33,,,,no
HC10252,,,,198,-302.515,-303.8,1,no
HC10253,,,,132,,,,no
HC10254,ENSG00000032389,NM_003310,TSSC1,810,-1084.87,-1090.96,1,yes
HC10255,,XM_039762,,2826,-3816.05,-3826.31,1,no
HC10256,ENSG00000172554,NM_018968,SNTG2,1131,-1580.54,-1580.55,0.539548,yes
HC10257,ENSG00000150350,,MGC14425,360,-479.883,-480.129,,no
HC10258,,,,546,-754.12,-756.081,1,yes
HC10259,,,,66,,,,no
HC10260,ENSG00000124067,NM_005072,LCAT,2415,-3194.21,-3196.33,1,yes
HC10261,ENSG00000173898,NM_006946,SPTBN2,5082,-6718.3,-6742.81,1,yes
HC10262,,,,0,,,,no
HC10263,,,,1248,-1731.44,-1731.82,0.305131,no
HC10264,ENSG00000175279,"NM_199294,NM_199295",CORT,246,-329.11,-329.825,,yes
HC10265,,,,237,-358.394,-358.587,1,no
HC10266,ENSG00000132549,"NM_017890,NM_152564",,1722,-2383.73,-2385.06,1,yes
HC10267,,,,66,,,,no
HC10268,ENSG00000139168,NM_033114,MADP-1,462,-589.596,-591.037,,yes
HC10269,ENSG00000162086,NM_153028,ZNF75A,423,-557.731,-560.436,,yes
HC10270,,,FLJ12847,1896,-2676.48,-2676.79,1,yes
HC10271,,,,390,-602.425,-604.391,1,no
HC10272,ENSG00000091879,NM_001147,ANGPT2,1077,-1471.66,-1473.54,1,yes
HC10273,ENSG00000157856,NM_145038,MGC16372,1161,-1579.99,-1581.46,1,yes
HC10274,ENSG00000151693,NM_003887,DDEF2,1779,-2402.15,-2408.28,1,yes
HC10275,,,CASPR4,2916,-4079.01,-4079.46,1,yes
HC10276,,,,1293,-1720.83,-1725.66,1,no
HC10277,,,,72,,,,no
HC10278,ENSG00000176207,XM_378186,MGC15634,237,-324.144,-324.446,,no
HC10279,ENSG00000005379,NM_004758,BZRAP1,4140,-5607.44,-5609.08,1,no
HC10280,,,,225,-259.704,-260.186,,no
HC10281,ENSG00000141367,NM_004859,CLTC,1941,-2614.67,-2621.07,1,yes
HC10282,,,,126,,,,no
HC10283,,,,300,-412.589,-412.969,,no
HC10284,,,,96,,,,no
HC10285,ENSG00000147892,NM_139238,ADAMTSL1,1389,-1938.19,-1940.91,1,yes
HC10286,ENSG00000132480,XM_371079,,789,-1106.69,-1106.74,1,no
HC10287,ENSG00000084710,XM_039733,,1119,-1496.88,-1502.37,1,no
HC10288,,XM_371481,,219,-307.176,-307.42,,no
HC10289,,,,126,,,,no
HC10290,,,,36,,,,no
HC10291,ENSG00000142655,NM_004565,PEX14,891,-1164.33,-1172.45,1,yes
HC10292,ENSG00000181763,NM_014318,37713,294,-412.053,-412.397,1,yes
HC10293,ENSG00000013306,NM_016016,CGI-69,876,-1185.32,-1185.86,1,yes
HC10294,ENSG00000004939,NM_000342,SLC4A1,1749,-2396.08,-2398.18,1,yes
HC10295,,,,300,-396.864,-397.042,,no
HC10296,ENSG00000185800,,DMPK,939,-1217.47,-1220.72,,no
HC10297,,NM_033225,CSMD1,3852,-5483.21,-5495.6,1,yes
HC10298,,,,357,-493.005,-493.069,1,no
HC10299,,,,105,,,,no
HC10300,,,,123,,,,no
HC10301,,,,294,-402.795,-403.119,,no
HC10302,ENSG00000078403,NM_004641,MLLT10,2232,-3031.18,-3033.36,1,yes
HC10303,ENSG00000147168,NM_000206,IL2RG,288,-396.9,-398.073,,yes
HC10304,,,,117,,,,no
HC10305,,,,174,-239.612,-239.961,,no
HC10306,,,,63,,,,no
HC10307,,,,126,,,,no
HC10308,,XM_373662,,234,-356.098,-356.597,0.233878,no
HC10309,,,,174,-236.452,-236.762,,no
HC10310,,,,24,,,,no
HC10311,,,,219,-293.048,-293.96,,no
HC10312,ENSG00000158639,NM_130467,PAGE-5,240,-317.869,-318.217,,yes
HC10313,,,,189,-246.013,-246.013,,no
HC10314,ENSG00000188747,NM_006647,,261,-325.334,-326.962,,yes
HC10315,ENSG00000171219,XM_290516,,1233,-1630.23,-1630.39,1,no
HC10316,,,,300,-451.385,-451.386,0.44645,no
HC10317,ENSG00000163882,NM_006232,POLR2H,69,,,,yes
HC10318,,,CMG2,711,-952.305,-952.305,,no
HC10319,,XM_378460,,219,-328.421,-328.658,0.392249,no
HC10320,,,,186,-249.119,-249.119,,no
HC10321,,,,150,-216.489,-217.268,1,no
HC10322,,XM_373845,,261,-352.352,-352.768,,no
HC10323,,,,228,-328.496,-328.752,1,no
HC10324,ENSG00000165105,NM_152573,,21,,,,yes
HC10325,ENSG00000165105,NM_152573,,48,,,,yes
HC10326,,,,168,-230.348,-231.606,,no
HC10327,,,,216,-291.152,-291.152,,no
HC10328,,NM_031962,KRTAP9-3,120,,,,yes
HC10329,,,,96,,,,no
HC10330,ENSG00000166743,NM_052956,BUCS1,366,-502.763,-503.929,,yes
HC10331,,,,435,-590.138,-590.266,,no
HC10332,,,,213,-302.104,-303.793,1,no
HC10333,,,,72,,,,no
HC10334,,XM_378183,,165,-219.599,-219.599,,no
HC10335,ENSG00000178649,,,108,,,,no
HC10336,,,,159,-229.261,-230.224,0.328524,no
HC10337,,,MGC16025,306,-417.666,-418.174,1,no
HC10338,ENSG00000168754,,LOC51252,591,-807.052,-808.214,1,no
HC10339,,,KIAA1160,66,,,,yes
HC10340,,,,126,,,,no
HC10341,,,,165,-233.836,-234.702,,no
HC10342,ENSG00000138081,,FBXO11,222,-290.221,-290.221,,yes
